epoch;acc;loss;val_acc;val_loss
0;0.856457078313253;0.333008167274992;0.98125;0.06657031137030572
1;0.9826627720719872;0.06566775148432756;0.981875;0.04730872908141464
2;0.9897295769339489;0.040488904014736635;0.983125;0.042019017615530174
3;0.9919438424573636;0.03003619400620977;0.9934375;0.03894338249214343
4;0.9943465561104307;0.021818095213785124;0.9878125;0.03246134029875975
5;0.9955243569207576;0.01613605710392128;0.995625;0.029189803894814757
6;0.9959954772448883;0.012845080735560935;0.9959375;0.022963175075974503
7;0.9973617261848676;0.00913455945492431;0.996875;0.018595597168205132
8;0.9977386224441722;0.007550447113402901;0.996875;0.020800913891939672
9;0.9980684066710638;0.006216758148835488;0.99625;0.026774662848883964
10;0.9981155187034769;0.007965279181769914;0.9978125;0.01730985372628993
11;0.9986337510600207;0.004895402629281133;0.9959375;0.030543980292412554
12;0.9987750871572599;0.0046803363807980764;0.9975;0.021954043150743417
13;0.9989164232544993;0.0037277011443326733;0.9946875;0.02381368104643528
14;0.9991048713841515;0.0032549892701989954;0.9940625;0.04906846288066298
15;0.9991048713841515;0.0028226068170750973;0.99875;0.01916613674882157
16;0.9992462074813907;0.00384401813676179;0.9984375;0.01917086687430569
17;0.9991519834165646;0.0033176436342257642;0.99875;0.01896184604864402
18;0.9992462074813907;0.004164336589939413;0.9959375;0.031211248554380403
19;0.9991519834165646;0.005034306351317387;0.9984375;0.016497879749505628
